rcrd_date,car_no,rcrd_time,lo_lgt,lo_ltt,lo_drc,r_num
2020-12-07,闽F02199D,2020-12-07 00:00:00:192,117.02563300000001,25.064757999999998,84.160004,0
2020-12-07,闽F02199D,2020-12-07 00:30:08:131,117.02563300000001,25.064757999999998,288.980011,0
2020-12-07,闽F02199D,2020-12-07 00:30:12:124,117.025497,25.064802,292.809998,0
2020-12-07,闽F02199D,2020-12-07 00:30:15:060,117.02541299999999,25.064808,278.869995,0
2020-12-07,闽F02199D,2020-12-07 00:30:16:105,117.02538700000001,25.064807000000002,258.440002,0
2020-12-07,闽F02199D,2020-12-07 00:30:17:181,117.02538700000001,25.064807000000002,250.039993,0
2020-12-07,闽F02199D,2020-12-07 00:30:18:021,117.02538700000001,25.064807000000002,237.24000499999997,0
2020-12-07,闽F02199D,2020-12-07 00:30:19:092,117.02538700000001,25.064807000000002,225.539993,0
2020-12-07,闽F02199D,2020-12-07 00:30:20:133,117.02538700000001,25.064807000000002,219.94999700000002,0
2020-12-07,闽F02199D,2020-12-07 07:24:27:944,117.02511000000001,25.064492,214.440002,1
2020-12-07,闽F02199D,2020-12-07 07:24:29:070,117.02511000000001,25.064492,200.869995,1
2020-12-07,闽F02199D,2020-12-07 07:25:06:084,117.02511000000001,25.064492,22.620001000000002,1
2020-12-07,闽F02199D,2020-12-07 07:25:35:162,117.02530800000001,25.064772,22.620001000000002,1
2020-12-07,闽F02199D,2020-12-07 07:26:34:182,117.02530800000001,25.064772,275.170013,1
2020-12-07,闽F02199D,2020-12-07 07:26:35:040,117.02530800000001,25.064772,282.679993,1
2020-12-07,闽F02199D,2020-12-07 07:26:36:103,117.02531200000001,25.064863,292.640015,1
2020-12-07,闽F02199D,2020-12-07 07:26:39:027,117.025208,25.06488,277.670013,1
2020-12-07,闽F02199D,2020-12-07 07:26:40:079,117.025175,25.064868,260.72000099999997,1
2020-12-07,闽F02199D,2020-12-07 07:26:41:130,117.025175,25.064868,240.25999500000003,1
2020-12-07,闽F02199D,2020-12-07 07:26:42:180,117.025175,25.064868,219.479996,1
2020-12-07,闽F02199D,2020-12-07 07:27:05:156,117.025102,25.064753,216.97000099999997,1
2020-12-07,闽F02199D,2020-12-07 07:27:07:042,117.025107,25.064725,176.21000700000002,1
2020-12-07,闽F02199D,2020-12-07 07:27:10:189,117.025107,25.064725,161.800003,1
2020-12-07,闽F02199D,2020-12-07 07:27:11:013,117.025107,25.064725,25.57,1
2020-12-07,闽F02199D,2020-12-07 07:27:12:049,117.025107,25.064725,342.149994,1
2020-12-07,闽F02199D,2020-12-07 07:29:17:109,117.025108,25.064687,208.53999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:29:18:159,117.025108,25.064687,195.490005,1
2020-12-07,闽F02199D,2020-12-07 07:29:20:040,117.025108,25.064687,179.380005,1
2020-12-07,闽F02199D,2020-12-07 07:29:21:099,117.025108,25.064687,162.229996,1
2020-12-07,闽F02199D,2020-12-07 07:29:22:141,117.025225,25.064425,144.860001,1
2020-12-07,闽F02199D,2020-12-07 07:29:23:190,117.025248,25.064420000000002,115.18,1
2020-12-07,闽F02199D,2020-12-07 07:29:25:054,117.025302,25.064427,76.309998,1
